user_id,day,Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType,BMI,TargetBMI,BMR,TDEE,Calorie_Target,Calorie_Deficit,preferred_body_part,운동1,운동부위1,운동시간1,소모칼로리1,운동2,운동부위2,운동시간2,소모칼로리2,운동3,운동부위3,운동시간3,소모칼로리3,운동4,운동부위4,운동시간4,소모칼로리4,총 운동시간,하루소모칼로리,breakfast_food_name,breakfast_portion,breakfast_carb,breakfast_protein,breakfast_fat,breakfast_calories,lunch_food_name,lunch_portion,lunch_carb,lunch_protein,lunch_fat,lunch_calories,snack_food_name,snack_portion,snack_carb,snack_protein,snack_fat,snack_calories,dinner_food_name,dinner_portion,dinner_carb,dinner_protein,dinner_fat,dinner_calories,총 식사섭취 칼로리
1,1,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,,하이 니 스킵스,유산소,30,255.0,훌라후프,유산소,30,195.0,줄넘기,유산소,30,270.0,기타 스포츠,스포츠,30,120.0,120,840.0,피자_페퍼로니피자,131.9,46.36,19.39,9.76,350.86,피자_치즈크러스트 피자 (L),106.97,50.09,41.63,27.43,614.01,피자_페퍼로니 피자 슈퍼시드 화이버 엣지 오리지널 (M),79.02,20.93,12.47,6.36,263.15,번_바닐라번,146.19,78.48,12.31,17.54,526.3,1754.32
1,2,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,등,중량 친 업,등,30,195.0,라잉 프론 W 투 Y,등,30,96.0,와이드 풀다운 머신,등,30,165.0,벤트 오버 로우 머신,등,30,183.0,120,639.0,콩조림(콩자반),124.86,43.49,22.44,9.65,350.86,소보로빵,155.05,93.37,13.99,20.54,614.01,피자_베이컨체더 피자 슈퍼시드 화이버 엣지 오리지널 (M),80.97,20.86,12.7,6.53,263.15,번_바닐라번,146.19,78.48,12.31,17.54,526.3,1754.32
1,3,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,하체,덤벨 레그 익스텐션,하체,30,177.0,스플릿 스쿼트,하체,30,195.0,덤벨 스모 스쿼트,하체,30,186.0,크랩 워킹,하체,30,174.0,120,732.0,뱅어포구이,93.81,23.52,32.24,14.23,350.86,마늘빵,140.19,81.22,16.91,24.64,614.01,피자_베이컨체더 피자 슈퍼시드 화이버 엣지 오리지널 (L),85.72,22.4,13.13,7.11,263.15,피자_고르곤졸라 피자 (L),148.25,81.17,32.93,33.33,526.3,1754.32
1,4,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,어깨,바벨 업라이트 로우,어깨,30,168.0,덤벨 리버스 레이즈,어깨,30,156.0,리버스 케이블 플라이,어깨,30,159.0,밴드 숄더 익스터널 로테이션,어깨,30,108.0,120,591.0,피자_치즈피자,126.67,45.09,19.89,10.01,350.86,츄러스_고구마 필링 롱츄,154.27,94.82,8.04,22.49,614.01,오징어채조림,109.65,27.81,25.79,5.37,263.15,피자_고르곤졸라 피자 (L),148.25,81.17,32.93,33.33,526.3,1754.32
1,5,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,,힐터치 사이드 킥 스쿼트,유산소,30,240.0,러닝,유산소,30,315.0,버트 킥 로우,유산소,30,234.0,웜업 싸이클,유산소,30,180.0,120,969.0,오징어채볶음,127.59,37.98,28.12,9.66,350.86,소보로빵,155.05,93.37,13.99,20.54,614.01,잔멸치볶음_풋고추,102.79,17.41,29.03,8.55,263.15,번_로띠번,142.63,76.56,13.51,18.01,526.3,1754.32
1,6,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,가슴,다이아몬드 푸쉬업,가슴,30,171.0,디클라인 스미스 머신 벤치 프레스,가슴,30,171.0,디클라인 푸쉬업,가슴,30,162.0,풀오버 머신 (가슴 집중),가슴,30,165.0,120,669.0,피자_페퍼로니피자,131.9,46.36,19.39,9.76,350.86,마늘빵,140.19,81.22,16.91,24.64,614.01,오징어채조림,109.65,27.81,25.79,5.37,263.15,피자_치즈바이트 피자 (L),95.86,54.23,28.57,21.71,526.3,1754.32
1,7,61,1.85,109.3,31.9357195032871,Obese Class 1,Male,72.0,1,1492,1,저지방 고단백,31.935719503287068,21.0372534696859,1949.25,1949.25,1449.25,500.0,가슴,추천 가슴 운동,가슴,30,165.0,로우 밴드 크로스오버,가슴,30,162.0,디클라인 벤치 프레스,가슴,30,174.0,로테이팅 푸쉬업,가슴,30,171.0,120,672.0,오징어채무침,135.99,38.64,32.09,7.52,350.86,피자_치즈바이트 피자 (L),111.84,63.27,33.33,25.33,614.01,오징어채조림,109.65,27.81,25.79,5.37,263.15,허니브레드_갈릭 버터 브레드,144.19,76.61,15.02,18.02,526.3,1754.32
2,1,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,1063.9499999999998,500.0,,등산,스포츠,30,195.0,산책,스포츠,30,90.0,줄넘기,유산소,30,270.0,다이빙,스포츠,30,150.0,120,705.0,피자_불고기 피자 (L),111.71,29.16,16.52,7.23,281.51,피자_치즈 피자 오리지널 (M),157.39,68.64,36.5,24.99,492.64,오징어채무침,81.83,23.25,19.31,4.53,211.13,피자_치즈 피자 (L),133.21,58.24,18.68,12.73,422.27,1407.55
2,2,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,1063.9499999999998,500.0,가슴,인클라인 클로즈 그립 덤벨 벤치 프레스,가슴,30,171.0,핸드 릴리즈 푸쉬업,가슴,30,162.0,해머 스트렝스 벤치 프레스,가슴,30,168.0,비하인드 암 가슴 스트레칭,가슴,30,105.0,120,606.0,오징어채무침,109.11,31.0,25.75,6.03,281.51,피자_골드베이컨 피자 (L),130.33,58.64,22.35,18.77,492.64,북어조림,116.01,19.88,24.16,3.86,211.13,뱅어포구이,112.91,28.31,38.81,17.13,422.27,1407.55
2,3,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,1063.9499999999998,500.0,어깨,밴드 숄더 익스터널 로테이션,어깨,30,108.0,원 암 페이스 풀,어깨,30,171.0,비하인드 넥 프레스,어깨,30,174.0,덤벨 오버헤드 프레스,어깨,30,165.0,120,618.0,피자_치즈 피자 슈퍼시드 화이버 엣지 오리지널 (L),93.53,26.49,13.36,5.56,281.51,피자_치즈 피자 오리지널 (M),157.39,68.64,36.5,24.99,492.64,북어조림,116.01,19.88,24.16,3.86,211.13,피자_골드핫치킨 피자 (L),113.82,46.22,23.72,15.8,422.27,1407.55
